list,1000,0.0248973,0.0001336,4.28e-05
list,10000,0.0545805,0.0015545,0.0002695
list,100000,0.496201,0.0252131,0.0038919
list,1000000,4.6381,0.270532,0.0374108
list,10000000,45.474,5.95121,0.358384
list,1000,0.0061135,0.0001211,2.33e-05
list,10000,0.0477275,0.0016079,0.0002741
list,100000,0.434995,0.0229035,0.0034397
list,1000000,4.36387,0.413375,0.0394377
list,10000000,45.3417,6.15862,0.351812
list,1000,0.0064604,0.0001398,1.8e-05
list,10000,0.0472955,0.001836,0.0003146
list,100000,0.437493,0.0354455,0.0100589
list,1000000,4.40652,0.609711,0.122224
list,10000000,45.3967,10.8557,1.3046
list,1000,0.0061376,0.0001391,1.62e-05
list,10000,0.0478815,0.001772,0.0004919
list,100000,0.435382,0.0335804,0.0047216
list,1000000,4.38398,0.563865,0.112245
list,10000000,44.868,9.66667,1.12217
list,1000,0.0054753,0.0001252,1.91e-05
list,10000,0.0485015,0.0016434,0.0002595
list,100000,0.437859,0.0330869,0.0083963
list,1000000,4.3756,0.506232,0.0965732
list,10000000,45.3764,8.20725,0.942798
